序号,sector,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,今日超大单净流入-净占比,large_net,今日大单净流入-净占比,medium_net,今日中单净流入-净占比,small_net,今日小单净流入-净占比,今日主力净流入最大股,fetch_time
47,光伏加工设备,-1.23,38506704.0,0.3,-21354960.0,-0.17,59861664.0,0.47,26545184.0,0.21,-59504560.0,-0.46,晶盛机电,2026-05-12 14:34:25
48,原材料供应链服务,-0.78,37034358.0,2.4,44306726.0,2.88,-7272368.0,-0.47,-67815840.0,-4.4,30779360.0,2.0,建发股份,2026-05-12 14:34:25
49,会展服务,-0.51,25407403.0,10.28,2864377.0,1.16,22543026.0,9.12,17662279.0,7.14,-43069681.0,-17.42,兰生股份,2026-05-12 14:34:25
50,黑色家电,-0.18,23515136.0,0.47,45754000.0,0.92,-22238864.0,-0.45,-21722176.0,-0.44,-1792080.0,-0.04,兆驰股份,2026-05-12 14:34:25
51,底盘与发动机系统,-0.38,21391616.0,0.05,625143552.0,1.56,-603751936.0,-1.51,-722404608.0,-1.81,687318528.0,1.72,山子高科,2026-05-12 14:34:25
52,其他塑料制品,0.39,18245296.0,0.26,4124704.0,0.06,14120592.0,0.2,26444368.0,0.37,-21727552.0,-0.31,瑞丰高材,2026-05-12 14:34:25
53,玻璃制造,0.52,17789301.0,0.97,28718421.0,1.57,-10929120.0,-0.6,-4660544.0,-0.25,-13136960.0,-0.72,旗滨集团,2026-05-12 14:34:25
54,其他饰品,1.05,17155853.0,10.03,10515146.0,6.15,6640707.0,3.88,-7759704.0,-4.54,-9396151.0,-5.49,ST新华锦,2026-05-12 14:34:25
55,商业地产,0.27,14106559.0,0.6,-67941521.0,-2.89,82048080.0,3.48,-55452544.0,-2.35,41307984.0,1.75,招商蛇口,2026-05-12 14:34:25
56,其他家居用品,-0.51,12992636.0,0.5,18129260.0,0.69,-5136624.0,-0.2,7384992.0,0.28,-20377632.0,-0.78,双枪科技,2026-05-12 14:34:25
57,成品家居,-1.02,12927575.0,0.66,-5112553.0,-0.26,18040128.0,0.92,70377200.0,3.6,-84242576.0,-4.31,ST喜临门,2026-05-12 14:34:25
58,燃料电池,-1.03,10206860.0,7.9,5417414.0,4.19,4789446.0,3.71,2130353.0,1.65,-12337211.0,-9.55,亿华通-U,2026-05-12 14:34:25
59,胶黏剂及胶带,-0.57,9909316.0,1.2,-49458684.0,-5.98,59368000.0,7.18,-4890780.0,-0.59,-5018528.0,-0.61,晶华新材,2026-05-12 14:34:25
60,涂料,2.21,8195221.0,2.61,2363529.0,0.75,5831692.0,1.86,21670734.0,6.91,-29865957.0,-9.52,三棵树,2026-05-12 14:34:25
61,钢结构,-1.41,7604945.0,0.59,11204561.0,0.86,-3599616.0,-0.28,16922848.0,1.3,-26250768.0,-2.02,宏盛华源,2026-05-12 14:34:25
62,氨纶,0.36,6162692.0,2.2,-3702860.0,-1.32,9865552.0,3.52,19080133.0,6.81,-25242826.0,-9.01,华峰化学,2026-05-12 14:34:25
63,电工仪器仪表,-0.64,3437427.0,0.13,26609187.0,0.99,-23171760.0,-0.86,91100576.0,3.39,-94960304.0,-3.53,华盛昌,2026-05-12 14:34:25
64,印染,-0.49,2479758.0,0.24,-21088632.0,-2.04,23568390.0,2.28,77868624.0,7.53,-80418240.0,-7.78,航民股份,2026-05-12 14:34:25
65,卫浴电器,-0.07,2405444.0,0.98,4561636.0,1.85,-2156192.0,-0.88,10997093.0,4.47,-13402537.0,-5.45,日出东方,2026-05-12 14:34:25
